ANG,LOV,JOY,SAD,ARO,VAL,DOM,MOD,IND,IMP,CON,SUB,POL,NEG,POS,COR,SEN,SPO,radioSilence,missingLinks,orgSilo,smelly,quitter,project
0,0.038461538,0,0.115384615,1.098583539,1.525395303,1.59606013,0.582888462,0.769230769,0.076923077,0.153846154,0,0.307692308,-0.216666667,0.27342,0,1.961538462,0,1,0,0,1,0,Hadoop Common
0.046511628,0,0.069767442,0.558139535,1.171045733,1.631286949,1.644313332,0.436623256,0.488372093,0.069767442,0.418604651,0.023255814,0.488372093,-0.188522222,0.17637619,0,3.186046512,0,1,0,0,1,0,Hadoop Common
0,0.142857143,0,0,0.948215373,1.534831464,1.503232643,0.470242857,0.285714286,0.428571429,0.285714286,0,0.428571429,-0.221875,0.29,0,1.714285714,0,1,0,0,1,0,Hadoop Common
0,0,0,0.5,1.17768085,1.68343845,1.67813075,0.1662,0.5,0,0.5,0,1,-0.2033,0.2281,0,3,0,1,0,0,1,0,Hadoop Common
0,0.166666667,0,0.333333333,1.1042124,1.700265812,1.684025695,0.4333,1,0,0,0,0.166666667,-0.25,0.089766667,0,4.333333333,0,1,0,0,1,0,Hadoop Common
0,0.333333333,0.111111111,0,1.055877418,1.406129886,1.442977611,0.415788889,0.111111111,0.333333333,0.555555556,0,0.555555556,-0.5,0.286116667,0,2.333333333,0,1,0,0,1,0,Hadoop Common
0,0,0,0.151515152,1.0277879,1.480345434,1.498884446,0.780609091,0.787878788,0.060606061,0.151515152,0,0.424242424,-0.08335,0.25566,0,1.666666667,0,1,0,0,1,0,Hadoop Common
0.05,0.08,0.05,0.1,1.167309836,1.695454543,1.703423014,0.795617,0.87,0.01,0.12,0,0.35,-0.249764706,0.236948571,0,3.56,0,1,0,0,1,0,Hadoop Common
0,0,0,1,0.95,1.4806349,1.4177778,-0.0667,0,0,1,0,1,-0.05,0,0,5,0,1,0,0,1,0,Hadoop Common
0,1,0,0,1.9154054,3.0302703,3.1094594,0,0,0,0,1,1,0,0.1389,0,3,0,1,0,0,1,0,Hadoop Common
0.01625,0.16125,0.09625,0.29375,0.861444242,1.265151008,1.270381913,0.578136875,0.6875,0.04875,0.26125,0.0025,0.48,-0.172066265,0.226603044,8,3.135,1,1,1,1,1,0,Hadoop Common
0,0,0,0.333333333,0.69360198,1.0575948,1.065761043,0.607133333,0.333333333,0,0.666666667,0,0.333333333,-0.25835,0.1097,0,2.666666667,0,1,0,0,1,0,Hadoop Common
0,0,0,0,1.2355173,2.0837932,1.9827586,0.1875,1,0,0,0,1,0,0.4111,0,2,0,1,0,0,1,0,Hadoop Common
0.117647059,0.176470588,0.058823529,0.352941176,1.057312118,1.589491549,1.552346425,0.625270588,0.529411765,0.058823529,0.411764706,0,0.411764706,-0.05575,0.19605,0,4.941176471,0,1,0,0,1,0,Hadoop Common
0,0,0.142857143,0.285714286,0.965215464,1.485934814,1.497439819,0.3478,0.714285714,0,0.285714286,0,0.428571429,-0.099,0.410625,0,1.857142857,0,1,0,0,1,0,Hadoop Common
0,0.166666667,0.166666667,0.5,1.013884112,1.57505485,1.563560908,0.648583333,0.75,0,0.25,0,0.416666667,-0.1,0.24002,0,4.083333333,0,1,0,0,1,0,Hadoop Common
0,0.333333333,0.333333333,0,1.2017273,1.623265133,1.651760133,0.574066667,0.666666667,0,0.333333333,0,0.666666667,0,0.1122,0,1.666666667,0,1,0,0,1,0,Hadoop Common
